,NPM,NAA,NLK,NLM,NAU
0,[8.703853962149403e-08],[0.001980059108713205],[3.800657525753839e-08],[4.725737785156271e-08],[0.39504993875791844]
1,[8.91775712553976e-08],[0.0019799823834766553],[3.982603399417183e-08],[5.511076774223307e-08],[0.5362228720559699]
2,[8.496171845247023e-08],[0.001979858786646341],[4.069027097892216e-08],[5.013799953477761e-08],[0.5289739294956385]
3,[9.412270049054333e-08],[0.0019797047297072145],[3.5625883142722534e-08],[4.955422460901156e-08],[0.47580807049936075]
4,[7.44932987770971e-08],[0.0019798829798726874],[3.8828732651693277e-08],[4.90317045956404e-08],[0.4300879864149265]
5,[7.513718571719924e-08],[0.001980031327288822],[3.922122914117414e-08],[4.892274530066976e-08],[0.31260326641451286]
6,[7.187399405366227e-08],[0.0019797967082742333],[3.3629727450865824e-08],[4.435999148240162e-08],[0.2803636468495568]
7,[7.196029237590199e-08],[0.0019798368286426194],[3.4033571709435976e-08],[5.1926267948480416e-08],[0.3296868042327058]
8,[8.001809305407328e-08],[0.001979906507875397],[3.3357528651300265e-08],[4.0437045699176826e-08],[0.3519704387925312]
9,[8.666007204517383e-08],[0.0019799352131870296],[3.261075244078992e-08],[4.600885431367486e-08],[0.4292091511601683]
10,[9.38792538764083e-08],[0.001979883147241664],[3.614942514886604e-08],[4.9532635784713336e-08],[0.35352788629458615]
11,[7.719329548836567e-08],[0.0019798614823476994],[3.500357935053069e-08],[4.9777918488677465e-08],[0.3440219605816435]
12,[8.607153273212603e-08],[0.0019798331629306935],[3.682652155012884e-08],[4.905923815004223e-08],[0.4683149002079077]
13,[9.066451858821946e-08],[0.001979690974104975],[3.59205034625378e-08],[5.1634242961970635e-08],[0.4878381602804549]
14,[9.38792538764083e-08],[0.001979883147241664],[3.614942514886604e-08],[4.9532635784713336e-08],[0.35352788629458615]
15,[7.719329548836567e-08],[0.0019798614823476994],[3.500357935053069e-08],[4.9777918488677465e-08],[0.3440219605816435]
16,[8.607153273212603e-08],[0.0019798331629306935],[3.682652155012884e-08],[4.905923815004223e-08],[0.4683149002079077]
17,[9.066451858821946e-08],[0.001979690974104975],[3.59205034625378e-08],[5.1634242961970635e-08],[0.4878381602804549]
18,[7.580741331925704e-08],[0.0019798449223653093],[3.622627094416972e-08],[5.1210483588785405e-08],[0.356568484548568]
19,[7.810510628339754e-08],[0.0019798492273895977],[3.6629411944443806e-08],[5.1824175076522254e-08],[0.3730828948071232]
20,[7.05251388228358e-08],[0.0019798205684671073],[3.279073836521584e-08],[4.907297895021505e-08],[0.3016214573791799]
21,[7.679238351398007e-08],[0.001979958797903654],[3.6520840976206665e-08],[4.7912356624431974e-08],[0.3097899489618715]
22,[7.046567135825439e-08],[0.0019799006642013048],[3.046302767039319e-08],[4.990591905471945e-08],[0.3505537899396326]
23,[9.271383701819462e-08],[0.0019797584569769574],[3.7861522327341353e-08],[5.726976322203589e-08],[0.512987327935687]
24,[9.38792538764083e-08],[0.001979883147241664],[3.614942514886604e-08],[4.9532635784713336e-08],[0.35352788629458615]
25,[7.719329548836567e-08],[0.0019798614823476994],[3.500357935053069e-08],[4.9777918488677465e-08],[0.3440219605816435]
26,[8.607153273212603e-08],[0.0019798331629306935],[3.682652155012884e-08],[4.905923815004223e-08],[0.4683149002079077]
27,[9.066451858821946e-08],[0.001979690974104975],[3.59205034625378e-08],[5.1634242961970635e-08],[0.4878381602804549]
28,[7.580741331925704e-08],[0.0019798449223653093],[3.622627094416972e-08],[5.1210483588785405e-08],[0.356568484548568]
29,[7.810510628339754e-08],[0.0019798492273895977],[3.6629411944443806e-08],[5.1824175076522254e-08],[0.3730828948071232]
30,[7.05251388228358e-08],[0.0019798205684671073],[3.279073836521584e-08],[4.907297895021505e-08],[0.3016214573791799]
31,[7.679238351398007e-08],[0.001979958797903654],[3.6520840976206665e-08],[4.7912356624431974e-08],[0.3097899489618715]
32,[7.046567135825439e-08],[0.0019799006642013048],[3.046302767039319e-08],[4.990591905471945e-08],[0.3505537899396326]
33,[9.271383701819462e-08],[0.0019797584569769574],[3.7861522327341353e-08],[5.726976322203589e-08],[0.512987327935687]
34,[9.094569743781193e-08],[0.0019798706442851126],[3.988185891217873e-08],[5.595899471301636e-08],[0.5211020499865833]
35,[7.96639989600666e-08],[0.0019799634356889276],[3.7114967717500895e-08],[6.145552991907703e-08],[0.5469468925334479]
36,[7.530235747095816e-08],[0.001979869466517013],[3.793989809487827e-08],[5.283801859927679e-08],[0.3126608933369062]
37,[8.215654245640537e-08],[0.0019798038748383164],[3.480601330730546e-08],[4.680405822901075e-08],[0.3968334617501003]
38,[9.094569743781193e-08],[0.0019798706442851126],[3.988185891217873e-08],[5.595899471301636e-08],[0.5211020499865833]
39,[7.96639989600666e-08],[0.0019799634356889276],[3.7114967717500895e-08],[6.145552991907703e-08],[0.5469468925334479]
40,[7.530235747095816e-08],[0.001979869466517013],[3.793989809487827e-08],[5.283801859927679e-08],[0.3126608933369062]
41,[8.215654245640537e-08],[0.0019798038748383164],[3.480601330730546e-08],[4.680405822901075e-08],[0.3968334617501003]
42,[7.482995117635227e-08],[0.0019797900908969782],[3.80022203066821e-08],[4.929177827413089e-08],[0.35416624403189706]
43,[7.565429621294546e-08],[0.001979843231179097],[3.716980300604627e-08],[4.713961311639996e-08],[0.34875562872080035]
44,[7.119785430900113e-08],[0.001979900570110764],[3.519565789029996e-08],[5.132398981377088e-08],[0.30877208799574074]
45,[7.568159534639697e-08],[0.0019800001827510157],[3.4429283663183603e-08],[4.493018072536056e-08],[0.32923373790413824]
46,[7.149970919592e-08],[0.001979987181078709],[3.768815530260299e-08],[5.2105959951787167e-08],[0.3369016525926511]
47,[8.27816933862547e-08],[0.0019799897317348196],[3.769772599127909e-08],[5.0822044221950714e-08],[0.46808637199139175]
48,[9.094569743781193e-08],[0.0019798706442851126],[3.988185891217873e-08],[5.595899471301636e-08],[0.5211020499865833]
49,[7.96639989600666e-08],[0.0019799634356889276],[3.7114967717500895e-08],[6.145552991907703e-08],[0.5469468925334479]
50,[7.530235747095816e-08],[0.001979869466517013],[3.793989809487827e-08],[5.283801859927679e-08],[0.3126608933369062]
51,[8.215654245640537e-08],[0.0019798038748383164],[3.480601330730546e-08],[4.680405822901075e-08],[0.3968334617501003]
52,[7.482995117635227e-08],[0.0019797900908969782],[3.80022203066821e-08],[4.929177827413089e-08],[0.35416624403189706]
53,[7.565429621294546e-08],[0.001979843231179097],[3.716980300604627e-08],[4.713961311639996e-08],[0.34875562872080035]
54,[7.119785430900113e-08],[0.001979900570110764],[3.519565789029996e-08],[5.132398981377088e-08],[0.30877208799574074]
55,[7.568159534639697e-08],[0.0019800001827510157],[3.4429283663183603e-08],[4.493018072536056e-08],[0.32923373790413824]
56,[7.149970919592e-08],[0.001979987181078709],[3.768815530260299e-08],[5.2105959951787167e-08],[0.3369016525926511]
57,[8.27816933862547e-08],[0.0019799897317348196],[3.769772599127909e-08],[5.0822044221950714e-08],[0.46808637199139175]
58,[8.035260922301511e-08],[0.001980279501527504],[3.790237231840321e-08],[5.6827847646982815e-08],[0.5418870614298881]
59,[9.346978422255842e-08],[0.0019800711778508893],[3.710214158283111e-08],[5.629281298596516e-08],[0.5544544693162214]
60,[8.434568552743594e-08],[0.0019798646227099227],[3.5651563079148165e-08],[5.420423238738681e-08],[0.48150328553992855]
61,[8.853689204372351e-08],[0.001979926071064037],[3.8786225772120496e-08],[5.398594525479873e-08],[0.5629672845788501]
62,[8.27816933862547e-08],[0.0019799897317348196],[3.769772599127909e-08],[5.0822044221950714e-08],[0.46808637199139175]
63,[8.035260922301511e-08],[0.001980279501527504],[3.790237231840321e-08],[5.6827847646982815e-08],[0.5418870614298881]
64,[9.346978422255842e-08],[0.0019800711778508893],[3.710214158283111e-08],[5.629281298596516e-08],[0.5544544693162214]
65,[8.434568552743594e-08],[0.0019798646227099227],[3.5651563079148165e-08],[5.420423238738681e-08],[0.48150328553992855]
66,[8.853689204372351e-08],[0.001979926071064037],[3.8786225772120496e-08],[5.398594525479873e-08],[0.5629672845788501]
67,[8.00642456497734e-08],[0.001979849007879988],[3.811940128483008e-08],[5.0640262728551904e-08],[0.36368496185508736]
68,[7.348717440346852e-08],[0.0019798817184229762],[3.603066656685929e-08],[5.2101681926502465e-08],[0.3518584307545675]
69,[7.890505195629197e-08],[0.001980010641614826],[3.666052142797265e-08],[4.957348272850086e-08],[0.3435209647700148]
70,[7.777237860944955e-08],[0.0019798706790814216],[3.599394099342694e-08],[4.95868754131924e-08],[0.352656796279717]
71,[7.541787645808125e-08],[0.0019799103939950233],[3.305937677649128e-08],[4.514355050141382e-08],[0.2799370660045484]
72,[8.035260922301511e-08],[0.001980279501527504],[3.790237231840321e-08],[5.6827847646982815e-08],[0.5418870614298881]
73,[9.346978422255842e-08],[0.0019800711778508893],[3.710214158283111e-08],[5.629281298596516e-08],[0.5544544693162214]
74,[8.434568552743594e-08],[0.0019798646227099227],[3.5651563079148165e-08],[5.420423238738681e-08],[0.48150328553992855]
75,[8.853689204372351e-08],[0.001979926071064037],[3.8786225772120496e-08],[5.398594525479873e-08],[0.5629672845788501]
76,[8.00642456497734e-08],[0.001979849007879988],[3.811940128483008e-08],[5.0640262728551904e-08],[0.36368496185508736]
77,[7.348717440346852e-08],[0.0019798817184229762],[3.603066656685929e-08],[5.2101681926502465e-08],[0.3518584307545675]
78,[7.890505195629197e-08],[0.001980010641614826],[3.666052142797265e-08],[4.957348272850086e-08],[0.3435209647700148]
79,[7.777237860944955e-08],[0.0019798706790814216],[3.599394099342694e-08],[4.95868754131924e-08],[0.352656796279717]
