,0
0.0,2.879810745640825e-09
12.20703125,2.6348870745537994e-09
24.4140625,2.3875627840813025e-09
36.62109375,2.3530152920368104e-09
48.828125,2.35319343927494e-09
61.03515625,2.353438100040589e-09
73.2421875,2.3533842653961664e-09
85.44921875,2.353401729633779e-09
97.65625,2.3540517148693415e-09
109.86328125,2.3539387462402137e-09
122.0703125,2.3538365964805148e-09
134.27734375,2.3543261332664035e-09
146.484375,2.354381724077591e-09
158.69140625,2.354542299979605e-09
170.8984375,2.3548232034721094e-09
183.10546875,2.355044809161829e-09
195.3125,2.3551934935150573e-09
207.51953125,2.3551346480037433e-09
219.7265625,2.3555946583266316e-09
231.93359375,2.3558845636078314e-09
244.140625,2.3559977970983574e-09
256.34765625,2.3564317469164606e-09
268.5546875,2.3563597633876e-09
280.76171875,2.356876325165351e-09
292.96875,2.359881957861829e-09
305.17578125,2.3607321023603738e-09
317.3828125,2.3580838321547514e-09
329.58984375,2.357717220461158e-09
341.796875,2.358116982924124e-09
354.00390625,2.358489925965216e-09
366.2109375,2.3587040190649652e-09
378.41796875,2.3594285899083175e-09
390.625,2.359114452156786e-09
402.83203125,2.3601125403287896e-09
415.0390625,2.3612418910923726e-09
427.24609375,2.3615619840188487e-09
439.453125,2.360882387238861e-09
451.66015625,2.3614398202546543e-09
463.8671875,2.3620587247208787e-09
476.07421875,2.36369717812584e-09
488.28125,2.3636975453942555e-09
500.48828125,2.362768190669479e-09
512.6953125,2.3644942984921425e-09
524.90234375,2.3634844399714798e-09
537.109375,2.3653944529908597e-09
549.31640625,2.365068629410802e-09
561.5234375,2.3662159252319026e-09
573.73046875,2.365625144425902e-09
585.9375,2.3675041392907685e-09
598.14453125,2.3688777624833105e-09
610.3515625,2.3686431099107826e-09
622.55859375,2.368019012010035e-09
634.765625,2.368726536838012e-09
646.97265625,2.371257713437031e-09
659.1796875,2.3721259437859844e-09
671.38671875,2.3723607066962315e-09
683.59375,2.370470501449445e-09
695.80078125,2.3707274887486535e-09
708.0078125,2.3722378264818926e-09
720.21484375,2.3728685724341654e-09
732.421875,2.373282672387776e-09
744.62890625,2.3732162117043797e-09
756.8359375,2.3740206170132083e-09
769.04296875,2.3746967661651464e-09
781.25,2.3759049338896935e-09
793.45703125,2.3787445048061024e-09
805.6640625,2.37835232937839e-09
817.87109375,2.376890640757118e-09
830.078125,2.3766379613290193e-09
842.28515625,2.3772367422393486e-09
854.4921875,2.3781620500637783e-09
866.69921875,2.378506148799931e-09
878.90625,2.378702632475323e-09
891.11328125,2.379926445148415e-09
903.3203125,2.380314979276724e-09
915.52734375,2.3809357707424606e-09
927.734375,2.3815580926829104e-09
939.94140625,2.3822851229279016e-09
952.1484375,2.382910942809566e-09
964.35546875,2.3836801001343786e-09
976.5625,2.3843616060966494e-09
988.76953125,2.3851135911005406e-09
1000.9765625,2.3858488308194497e-09
1013.18359375,2.386598085778058e-09
1025.390625,2.387363990083366e-09
1037.59765625,2.388155452402897e-09
1049.8046875,2.3888754947819875e-09
1062.01171875,2.389673538453299e-09
1074.21875,2.3910512794706522e-09
1086.42578125,2.3910539693315488e-09
1098.6328125,2.3933312656779223e-09
1110.83984375,2.3939179328891512e-09
1123.046875,2.3954205683179297e-09
1135.25390625,2.398201675912936e-09
1147.4609375,2.398900764950226e-09
1159.66796875,2.402106766680787e-09
1171.875,2.4047976773982012e-09
1184.08203125,2.4101657134881696e-09
1196.2890625,2.413647894494488e-09
1208.49609375,2.4193229916766676e-09
1220.703125,2.422223935697095e-09
1232.91015625,2.4319462765461206e-09
1245.1171875,2.4387465790690386e-09
1257.32421875,2.450891112081468e-09
1269.53125,2.460818353163158e-09
1281.73828125,2.4686556148673347e-09
1293.9453125,2.4777316465318637e-09
1306.15234375,2.4922641737686332e-09
1318.359375,2.509059705150889e-09
1330.56640625,2.5182535242173167e-09
1342.7734375,2.5258737366139777e-09
1354.98046875,2.5461149011266286e-09
1367.1875,2.563869137590334e-09
1379.39453125,2.5840714585505174e-09
1391.6015625,2.5843882690505864e-09
1403.80859375,2.61907790083419e-09
1416.015625,2.649301954947797e-09
1428.22265625,2.690252064685214e-09
1440.4296875,2.7421257842177775e-09
1452.63671875,2.7366824075986586e-09
1464.84375,2.7228482742267245e-09
1477.05078125,2.7656650426559643e-09
1489.2578125,2.8199633178365647e-09
1501.46484375,2.8768908270887082e-09
1513.671875,2.8813524554081248e-09
1525.87890625,2.8853727870956896e-09
1538.0859375,2.905616706598432e-09
1550.29296875,2.978901804953488e-09
1562.5,3.0516475135729113e-09
1574.70703125,3.058820688269273e-09
1586.9140625,3.071860239354014e-09
1599.12109375,3.1560850707504234e-09
1611.328125,3.1954806496404817e-09
1623.53515625,3.264373322732459e-09
1635.7421875,3.2582928924990638e-09
1647.94921875,3.333802080490704e-09
1660.15625,3.32856480007208e-09
1672.36328125,3.4261344277193862e-09
1684.5703125,3.581155357407528e-09
1696.77734375,3.517897705658554e-09
1708.984375,3.5205435134567936e-09
1721.19140625,3.5976797175742977e-09
1733.3984375,3.846054620067291e-09
1745.60546875,3.951121302116248e-09
1757.8125,3.832394365955355e-09
1770.01953125,3.8517015657610575e-09
1782.2265625,3.882982482782266e-09
1794.43359375,4.194006565797279e-09
1806.640625,4.240908629731443e-09
1818.84765625,4.145323681941945e-09
1831.0546875,4.191418570271316e-09
1843.26171875,4.282755549176883e-09
1855.46875,4.4200440892566395e-09
1867.67578125,4.4623240007239e-09
1879.8828125,4.346437937841427e-09
1892.08984375,4.479406260554663e-09
1904.296875,4.5758594956082655e-09
1916.50390625,4.7786696452160074e-09
1928.7109375,4.809804849729289e-09
1940.91796875,4.8165234768026045e-09
1953.125,4.911432838562191e-09
1965.33203125,5.561633690480227e-09
1977.5390625,5.560521734193713e-09
1989.74609375,5.000985497745638e-09
2001.953125,5.093457376339454e-09
2014.16015625,5.117281755851999e-09
2026.3671875,5.373295642031342e-09
2038.57421875,5.345773523713812e-09
2050.78125,5.21355692662102e-09
2062.98828125,5.199039566496284e-09
2075.1953125,5.3749048205275105e-09
2087.40234375,5.533228050614858e-09
2099.609375,6.074871070610531e-09
2111.81640625,5.6172776462991335e-09
2124.0234375,5.491573555509312e-09
2136.23046875,5.518606171750631e-09
2148.4375,5.516066549793145e-09
2160.64453125,5.604512531765739e-09
2172.8515625,5.533368948535991e-09
2185.05859375,5.539353798977253e-09
2197.265625,5.717750662208147e-09
2209.47265625,5.985383634222795e-09
2221.6796875,6.211479775787306e-09
2233.88671875,5.686305693600098e-09
2246.09375,5.747125833336476e-09
2258.30078125,5.83116899831813e-09
2270.5078125,5.782739736302456e-09
2282.71484375,5.855895620091842e-09
2294.921875,5.765926865884159e-09
2307.12890625,5.723941324947575e-09
2319.3359375,5.6268294864202494e-09
2331.54296875,5.6739352760927905e-09
2343.75,5.55092707148149e-09
2355.95703125,5.570012289507463e-09
2368.1640625,5.66228046050558e-09
2380.37109375,5.6912174007173535e-09
2392.578125,7.144031372654243e-09
2404.78515625,7.2511203712598e-09
2416.9921875,5.916839339996202e-09
2429.19921875,5.4324130941900435e-09
2441.40625,5.40627906731846e-09
2453.61328125,5.759444445510611e-09
2465.8203125,5.8986952463825324e-09
2478.02734375,5.318189988349121e-09
2490.234375,5.25487493463134e-09
2502.44140625,5.156379424837775e-09
2514.6484375,5.2722993496837096e-09
2526.85546875,5.1301493546872e-09
2539.0625,5.028692945052132e-09
2551.26953125,4.953577290983652e-09
2563.4765625,4.886443625142608e-09
2575.68359375,4.8463495134580836e-09
2587.890625,4.720577041108277e-09
2600.09765625,4.661669816603988e-09
2612.3046875,4.4617418903932875e-09
2624.51171875,4.461100708053724e-09
2636.71875,4.407071231026741e-09
2648.92578125,4.239599376794504e-09
2661.1328125,4.1699848067149095e-09
2673.33984375,4.091065071593182e-09
2685.546875,4.021827217045619e-09
2697.75390625,3.948873137864982e-09
2709.9609375,3.882306805721727e-09
2722.16796875,3.804406521180154e-09
2734.375,3.6722987240616987e-09
2746.58203125,3.5735674673935227e-09
2758.7890625,3.551753400858586e-09
2770.99609375,3.4000871991154113e-09
2783.203125,3.3507678419666396e-09
2795.41015625,3.216618708622945e-09
2807.6171875,3.174878761586994e-09
2819.82421875,3.1671026044023457e-09
2832.03125,3.117462256744732e-09
2844.23828125,3.016247769727164e-09
2856.4453125,2.93970518927483e-09
2868.65234375,2.883370841317122e-09
2880.859375,2.82034469451318e-09
2893.06640625,2.7813730630950847e-09
2905.2734375,2.7340648966791336e-09
2917.48046875,2.7077807224127244e-09
2929.6875,2.6734416844630504e-09
2941.89453125,2.6453908019198642e-09
2954.1015625,2.6220652591790536e-09
2966.30859375,2.6121819161646934e-09
2978.515625,2.6090137790032694e-09
2990.72265625,2.609818090158615e-09
3002.9296875,2.61166442014737e-09
3015.13671875,2.6151204523662297e-09
3027.34375,2.6227169586033203e-09
3039.55078125,2.6359673610100167e-09
3051.7578125,2.661888805601932e-09
3063.96484375,2.701031023223693e-09
3076.171875,2.730245326894695e-09
3088.37890625,2.7973603906050345e-09
3100.5859375,2.8623383957257172e-09
3112.79296875,2.9422998276275918e-09
3125.0,3.0190485165423138e-09
3137.20703125,3.113987182522234e-09
3149.4140625,3.2122357197040216e-09
3161.62109375,3.299534779913133e-09
3173.828125,3.4294003046273797e-09
3186.03515625,3.584042827614127e-09
3198.2421875,3.706258228895205e-09
3210.44921875,3.755016224723285e-09
3222.65625,3.880267710410468e-09
3234.86328125,4.13859106256894e-09
3247.0703125,4.231844019606327e-09
3259.27734375,4.314071274425711e-09
3271.484375,4.6087842592128e-09
3283.69140625,4.868257148248396e-09
3295.8984375,4.947241000498632e-09
3308.10546875,5.198840562788299e-09
3320.3125,5.358148466329993e-09
3332.51953125,5.416864057836904e-09
3344.7265625,5.737109492692273e-09
