time	NAA-V Amp
0	20.30103
1	19.69232
2	20.44978
3	20.58012
4	20.52775
5	20.54645
6	20.88263
7	20.27305
8	20.60759
9	20.18505
10	20.91895
11	20.41207
12	20.39828
13	20.1744
14	20.43276
15	21.57574
16	21.02402
17	20.5227
18	20.3529
19	20.63501
20	20.18648
21	20.09319
22	20.5877
23	20.25853
24	20.71703
25	20.31335
26	20.58306
27	20.64507
28	20.67056
29	20.21748
30	20.91743
31	20.17737
32	20.34637
33	21.04071
34	20.57374
35	21.3039
36	20.51434
37	20.74903
38	20.5572
39	20.69232
40	21.29809
41	21.07391
42	21.08908
43	20.93089
44	20.11704
45	20.61795
46	20.74142
47	20.81068
48	19.79242
49	20.52933
50	20.49055
51	21.44207
52	20.35411
53	20.37005
54	21.38453
55	20.94311
56	20.56838
57	20.8418
58	20.92031
59	20.07668
60	20.28911
61	20.56601
62	20.57142
63	20.54492
64	20.66971
65	20.74941
66	20.94455
67	20.42398
68	21.03872
69	21.24755
70	20.4298
71	20.75512
72	20.5128
73	21.55416
74	21.30611
75	21.05828
76	20.27045
77	20.54916
78	20.55798
79	20.04961
80	20.48908
81	20.58617
82	20.98798
83	20.42402
84	21.09103
85	20.49498
86	20.0057
87	20.37019
88	21.31423
89	20.75626
90	20.23591
91	20.70925
92	20.58521
93	20.42115
94	20.19193
95	20.64907
96	20.16853
97	20.62196
98	20.74633
99	20.59089
100	20.63261
101	21.16887
102	20.39646
103	20.47445
104	20.42261
105	20.35013
106	21.11962
107	20.99256
108	20.92628
109	20.73635
110	20.47303
111	20.38339
112	20.04804
113	19.78535
114	19.84205
115	20.84394
116	20.09851
117	19.75716
118	20.03456
119	19.98576
120	20.54043
121	20.24685
122	20.73549
123	20.13942
124	20.21578
125	20.42891
126	20.3792
127	20.38769
128	20.64576
129	20.10444
130	20.70087
131	21.45668
132	20.731
133	19.97679
134	19.94215
135	20.63395
136	20.69192
137	20.34927
138	20.21351
139	20.33669
140	21.08689
141	20.32036
142	20.19805
143	20.45087
144	20.3148
145	20.5105
146	20.76114
147	20.03074
148	19.8623
149	21.04854
150	19.57355
151	20.64893
152	20.64873
153	20.96588
154	20.25869
155	20.23383
156	20.4384
157	20.57973
158	20.67374
159	20.29928
160	20.32981
161	20.57082
162	20.40259
163	20.23068
164	20.68564
165	20.42944
166	20.74195
167	20.71707
168	20.40643
169	20.52711
170	20.6721
171	20.21336
172	20.32512
173	20.38667
174	20.41331
175	20.47461
176	20.47829
177	20.24868
178	20.52415
179	20.19087
180	20.68863
181	19.93538
182	20.25339
183	20.69699
184	19.8761
185	20.06064
186	20.279
187	20.20357
188	19.97453
189	20.12296
190	20.3762
191	20.32709
192	20.4183
193	20.09253
194	20.30987
195	20.05813
196	19.72851
197	20.23125
198	19.87859
199	19.40816
200	19.95449
201	19.95725
202	20.30142
203	19.95869
204	20.20794
205	19.79093
206	20.48444
207	19.71179
208	20.12097
209	20.98807
210	19.91041
211	20.5414
212	20.52328
213	19.9858
214	19.60709
215	19.54846
216	20.3677
217	19.98658
218	20.03086
219	20.09445
220	19.70958
221	19.73408
222	19.88049
223	20.29084
224	20.06714
225	20.02324
226	20.07858
227	20.06391
228	20.04576
229	20.1489
230	20.24546
231	20.2896
232	19.71513
233	19.7356
234	19.77106
235	19.6566
236	19.35647
237	20.09912
238	19.85495
239	19.88825
240	19.70788
241	19.88658
242	20.7832
243	19.89877
244	20.18286
245	19.54321
246	19.55354
247	19.82311
248	19.73538
249	19.70658
250	19.89534
251	19.99035
252	19.8077
253	20.69098
254	20.0347
255	19.95299
256	19.57953
257	19.83421
258	20.15458
259	20.31811
260	20.30428
261	19.78752
262	19.71467
263	20.75284
264	20.2984
265	20.24704
266	20.35
267	20.54076
268	20.03057
269	19.9856
270	19.48833
271	19.69811
272	20.30452
273	19.67362
274	19.70006
275	19.43248
276	20.18882
277	19.83768
278	19.64998
279	19.96625
280	19.43253
281	19.84597
282	20.0409
283	19.87099
284	20.57349
285	21.25856
286	20.57369
287	20.15924
288	19.61083
289	20.06474
290	20.38058
291	19.48673
292	20.08924
293	20.53856
294	20.08957
295	20.2554
296	19.34908
297	20.1265
298	20.1575
299	19.72961
300	20.32502
301	20.34766
302	20.25256
303	20.47682
304	19.67179
305	20.7098
306	19.95468
307	20.0199
308	19.38819
309	20.32325
310	20.36802
311	19.98297
312	19.92355
313	20.4743
314	19.68342
315	19.98026
316	19.35702
317	19.93917
318	20.10166
319	19.47057
320	19.37706
321	19.93795
322	19.92881
323	20.68081
324	20.46215
325	19.9756
326	20.9388
327	20.01061
328	19.59872
329	19.69471
330	19.75673
331	19.37278
332	19.50557
333	19.93072
334	19.96592
335	20.15622
336	19.67636
337	19.66323
338	20.22622
339	20.72403
340	19.72985
341	19.75747
342	20.50032
343	19.60385
344	19.67178
345	19.73664
346	20.34075
347	19.98244
348	19.88501
349	19.78218
350	19.80966
351	19.46974
352	20.07453
353	20.10351
354	21.60827
355	19.66733
356	19.46675
357	19.48016
358	20.09669
359	19.09413
360	19.44512
361	19.26015
362	19.88396
363	20.03135
364	20.03329
365	19.96831
366	19.28577
367	19.55237
368	19.95016
369	19.64956
370	19.704
371	19.60239
372	19.44934
373	20.19853
374	20.2385
375	19.78214
376	20.09994
377	19.65491
378	20.17008
379	20.05403
380	19.97336
381	19.47913
382	19.53172
383	19.39275
384	18.40527
385	19.57702
386	20.07617
387	19.74906
388	19.7579
389	19.99047
390	19.53462
391	19.50526
392	19.33779
393	19.49717
394	19.42201
395	19.67172
396	19.7299
397	19.15494
398	20.04639
399	20.32627
400	19.35697
401	19.40985
402	19.49807
403	18.91407
404	19.37407
405	18.89588
406	19.15899
407	18.84098
408	19.93977
409	19.52637
410	19.23698
411	19.40155
412	19.76651
413	19.28776
414	19.27141
415	18.99904
416	19.33404
417	19.30656
418	19.90572
419	19.37546
420	20.31781
421	19.94922
422	18.64851
423	20.38921
424	18.91284
425	19.03257
426	19.23733
427	19.02496
428	19.11823
429	19.29243
430	17.98506
431	18.93114
432	18.33988
433	19.13241
434	19.24782
435	18.56697
436	19.51167
437	18.81155
438	19.1023
439	19.32616
440	19.01263
441	19.73007
442	19.78198
443	18.76731
444	18.98709
445	18.93714
446	18.57418
447	19.68387
448	19.52167
449	19.07979
450	18.834
451	18.80174
452	19.55759
453	18.99242
454	19.23194
455	19.11319
456	19.4059
457	19.06341
458	19.53122
459	19.39734
460	19.04544
461	19.32189
462	19.22222
463	20.03891
464	19.91623
465	18.46839
