time	NAA-L Phase	NAA-L Amp	NPM-L Phase	NPM-L Amp
0	77.66448	23.26154	109.0036	28.65936
1	77.36191	23.2434	109.9107	28.58276
2	77.48753	23.37398	108.712	28.6703
3	78.12	23.56047	108.0819	28.53117
4	78.16369	24.09539	108.8665	28.74795
5	75.39271	23.16245	109.4572	28.60833
6	77.11681	23.44773	108.6521	28.60831
7	78.28692	23.67972	109.2501	28.61492
8	78.41202	23.66819	108.3795	28.44088
9	78.91081	23.48945	108.6959	28.59725
10	78.9887	23.66749	107.849	28.52744
11	78.98837	23.42958	108.9049	28.60848
12	78.77171	23.69895	107.9548	28.51181
13	76.7584	23.45143	109.1367	28.34375
14	76.91013	23.68254	109.0879	28.5045
15	77.15591	23.34346	109.7988	28.63905
16	77.92997	23.18451	108.6164	28.64732
17	79.28232	23.64269	109.0752	28.51155
18	78.06024	23.6201	107.3832	28.69004
19	78.54205	23.71212	108.4347	28.74794
20	77.79299	23.51708	109.829	28.64485
21	78.49331	23.65475	108.7077	28.79914
22	79.04254	23.54816	107.4899	28.72293
23	76.93629	23.71916	109.33	28.67608
24	76.64331	23.5496	108.3722	28.72644
25	77.95215	23.58789	108.4097	28.65593
26	77.38451	23.47785	107.2317	28.60061
27	79.63426	23.59701	107.9611	28.88111
28	76.83598	23.22685	107.3207	28.59294
29	74.32594	23.41337	107.5359	28.91525
30	76.93146	23.63731	107.6988	28.78093
31	75.35728	23.48487	106.7535	28.77792
32	77.85941	23.79264	107.3099	28.81555
33	78.62169	23.80284	107.7323	28.83383
34	74.49471	23.757	107.7167	28.6842
35	76.04186	23.57504	107.3624	28.91503
36	76.85241	23.57095	106.8608	28.44783
37	77.88546	23.72723	106.3324	28.72437
38	75.37741	23.81115	107.4227	28.71469
39	75.35153	23.88927	106.7147	28.85411
40	76.20159	23.77485	106.4712	28.84316
41	75.7214	23.55655	106.321	28.7128
42	69.92079	23.59403	104.5905	28.82728
43	74.32556	23.75149	107.7985	28.9631
44	75.03538	23.8101	106.9922	28.76725
45	76.46341	24.00583	106.4891	29.1192
46	76.64442	23.84542	106.5983	28.85618
47	75.71143	23.73602	107.2599	28.87949
48	74.94258	23.75921	106.2286	28.8822
49	76.50376	23.70476	106.6521	28.93534
50	74.91747	23.89246	106.4687	29.06018
51	75.7463	23.99665	106.1221	29.0296
52	76.62351	23.72977	105.8675	28.97631
53	74.70327	23.7111	106.5674	28.85262
54	76.99699	23.89554	106.4054	29.15431
55	74.24467	23.98582	106.105	28.93866
56	75.29593	23.62037	106.0777	28.91573
57	75.97107	23.88841	106.299	29.04498
58	76.15176	24.1465	106.1185	29.00408
59	74.05569	24.08129	106.1055	28.98359
60	73.96397	24.08129	105.8401	29.29094
61	73.40428	23.92184	106.7426	28.84907
62	77.27787	23.93272	105.1148	28.86172
63	75.64278	23.65787	104.6475	28.97539
64	72.84543	24.29946	105.785	28.8792
65	75.72188	23.57532	105.3918	28.99254
66	75.57845	23.84106	105.8427	28.94135
67	75.42677	23.65267	104.9968	29.10371
68	73.2971	23.67666	104.6199	28.99472
69	76.05965	23.6928	105.1546	28.99098
70	73.34215	23.69408	105.5129	29.11969
71	73.3195	23.99612	105.1413	29.11844
72	72.61345	24.26281	105.8431	29.16957
73	73.41562	23.87445	105.27	28.95756
74	72.62533	23.62194	103.7149	28.8401
75	73.74235	24.15919	103.8782	28.84421
76	77.44054	23.81226	105.9779	29.06729
77	73.83351	23.89723	104.2109	28.92899
78	75.00628	23.71943	104.1622	28.88653
79	72.44019	23.90195	103.5444	29.07394
