time	NAA Phase	NAA Amp	NPM Phase	NPM Amp
0	111.2234	1.356503	157.1251	-4.72884
1	110.019	1.405124	158.5965	-4.995942
2	110.343	1.251493	154.7762	-4.331372
3	110.4807	1.269133	160.1765	-4.549751
4	110.2523	1.475237	156.6693	-4.935381
5	111.1647	1.25455	157.3361	-4.908328
6	110.9388	1.349541	155.2174	-4.717004
7	111.0884	1.30504	159.375	-4.924809
8	110.6541	1.413541	158.0346	-5.021079
9	109.8092	1.215431	157.833	-4.774458
10	110.917	1.219445	155.2134	-4.901904
11	110.4461	1.295286	156.3712	-4.98427
12	110.4097	1.33113	155.9905	-4.969009
13	109.8621	1.212958	159.9417	-5.020183
14	110.7553	1.238054	154.683	-4.908811
15	110.0593	1.088552	154.5404	-4.508135
16	110.3795	1.350614	157.0166	-5.054021
17	110.4162	1.198142	156.6335	-4.525935
18	110.3951	1.270265	157.9026	-5.057295
19	110.3391	1.232152	156.9563	-4.746423
20	109.9104	1.162238	154.9718	-4.623183
21	110.931	1.236826	155.4696	-5.501018
22	110.6187	1.12102	157.3518	-5.04185
23	110.7732	1.150404	157.7423	-5.041499
24	110.602	1.283727	156.8879	-4.812891
25	110.1746	1.266455	158.8684	-5.333918
26	110.3382	1.145892	155.983	-4.859802
27	110.1911	1.268989	157.3291	-5.054143
28	110.3634	1.45397	157.9025	-4.907607
29	110.5123	1.278237	154.869	-4.651987
30	110.4201	1.169141	155.6522	-5.083076
31	109.3607	1.193777	154.7025	-4.723132
32	109.1281	1.321753	156.8306	-5.068176
33	109.8294	1.49285	155.9942	-5.040725
34	109.68	1.147208	153.7066	-4.82636
35	109.8821	1.222712	155.1984	-5.29001
36	109.6323	1.200916	156.0781	-5.173135
37	108.7096	1.268123	153.8527	-5.388635
38	109.2695	1.255648	151.7431	-4.686074
39	110.1774	1.221809	155.0012	-4.668496
40	109.2807	1.155583	154.5863	-5.059255
41	109.6895	1.338596	155.3867	-5.187537
42	108.951	1.16759	156.158	-5.053447
43	108.7013	1.243614	156.695	-4.558061
44	109.6258	1.202069	154.5388	-4.90656
45	109.4932	1.067476	153.5391	-4.881245
46	109.6438	1.253733	155.9753	-4.901074
47	108.6048	1.112794	155.5265	-5.064206
48	108.8059	1.201444	153.3109	-4.765952
49	108.105	1.167327	152.6419	-5.132949
50	109.3734	1.203833	155.016	-4.485908
51	108.7062	1.302637	156.1781	-5.09344
52	108.7518	1.284934	154.591	-4.889624
53	109.5355	1.134291	151.9378	-5.150469
54	109.4032	1.165435	153.2478	-4.631604
55	108.8461	0.9968835	153.0773	-4.795178
56	109.6993	1.124136	152.7257	-4.375764
57	109.9913	1.299608	154.2375	-4.893298
58	109.3455	1.244878	155.1861	-5.51947
59	109.2469	1.235393	156.2214	-5.163481
60	108.9843	1.125753	153.5871	-5.494219
61	109.0853	1.177811	153.2019	-4.669368
62	109.0714	1.023789	151.5873	-4.826189
63	109.0243	1.129562	152.1288	-5.059824
64	108.7525	1.217567	151.464	-4.662344
65	108.3205	1.282954	152.2688	-4.763784
66	108.8852	1.107036	152.9883	-5.385972
67	108.2933	1.10991	153.0796	-4.51779
68	108.7371	1.150665	156.0386	-4.995022
69	108.6394	1.134755	152.3053	-4.712815
70	108.2101	1.083335	153.6846	-5.156145
71	108.3091	1.157246	154.7605	-5.429761
72	108.8422	1.21718	150.1837	-4.863379
73	109.0323	1.179614	154.4226	-4.623733
74	108.6546	1.189824	154.2609	-5.207356
75	108.4419	1.126815	153.8898	-5.036672
76	107.2367	1.045793	150.4862	-4.796692
77	107.8541	1.23722	151.5118	-4.945181
78	107.7763	1.155728	151.8579	-4.790171
79	108.3331	0.9821972	152.9358	-5.392197
80	107.3175	1.067843	152.5689	-4.77353
81	107.7302	1.101489	154.1454	-4.864289
82	106.8827	1.004645	152.085	-4.616599
83	107.5452	0.9964258	153.1563	-5.071445
84	107.1437	1.098395	153.0766	-4.64689
85	106.446	1.032189	149.6433	-4.836225
86	106.8936	1.198833	149.2186	-4.939631
87	107.7724	1.149734	151.7181	-5.266345
88	106.8097	1.07647	148.9118	-4.813032
89	106.9893	1.039851	150.1199	-4.983899
90	106.9598	1.033439	151.6593	-5.204365
91	107.5075	0.9554565	148.0817	-4.943623
92	107.0265	1.03333	152.6343	-5.0773
93	107.7927	1.059443	151.687	-4.924761
94	107.5131	1.065776	151.8795	-5.167048
95	106.9705	1.093003	149.7795	-5.100591
96	107.0861	1.04415	151.7479	-5.024763
97	106.7628	1.089363	150.2415	-4.988257
98	107.8175	0.9914343	151.2716	-5.412866
99	106.1739	1.105641	152.2033	-5.127688
100	106.562	1.139078	152.4234	-5.542314
