time	NAA Phase	NAA Amp	NPM Phase	NPM Amp
0	29.35598	24.55454	-39.30187	28.93584
1	30.56257	24.80818	-40.2734	28.97594
2	28.90878	24.81176	-39.14548	29.22495
3	29.66088	24.71014	-39.9036	29.09741
4	29.16556	24.9161	-40.13784	29.07288
5	31.54189	24.72731	-40.62668	28.94315
6	29.49205	24.93099	-39.80242	29.07529
7	29.90745	24.70331	-39.75529	29.04665
8	28.59968	24.70477	-40.65157	29.04873
9	29.64609	24.96917	-39.68785	29.12594
10	28.91837	25.09003	-39.67243	29.35803
11	28.97211	24.90735	-41.0034	29.03718
12	30.66505	24.76555	-40.36101	29.04082
13	28.07742	24.89505	-39.55794	29.1459
14	29.52526	24.79034	-40.74459	29.10003
15	27.14894	24.89665	-40.27233	29.22714
16	29.71751	25.05186	-39.32693	29.12284
17	30.02061	24.96056	-41.37941	29.20518
18	28.82766	24.60644	-39.92239	29.29801
19	28.09581	24.75502	-40.33958	29.25163
20	27.75381	24.94768	-40.57928	29.20584
21	27.716	24.8457	-40.90068	29.19935
22	27.44404	24.86344	-41.09105	29.15317
23	27.96703	25.04791	-40.99414	29.12597
24	26.35364	25.71445	-40.5966	29.47302
25	29.09172	24.85077	-40.70928	29.04443
26	27.63714	25.00213	-41.48674	29.16692
27	27.61006	24.8096	-41.92724	29.13736
28	27.2104	25.08681	-41.28303	29.14138
29	27.54762	24.81792	-41.83088	29.28722
30	26.84462	24.8541	-41.6598	29.14312
31	28.77262	24.51293	-40.8428	29.2861
32	25.38594	25.29616	-41.99393	29.25626
33	25.68129	25.08172	-42.53006	29.2538
34	25.70589	24.87793	-41.5085	29.30252
35	25.1816	24.95845	-42.11386	28.99459
36	25.72756	25.91336	-42.1037	29.32625
37	25.78629	25.14425	-41.70139	29.23224
38	25.87459	25.2281	-42.39929	29.25256
39	26.52419	25.17482	-41.90518	29.30082
40	25.10681	25.18673	-42.30991	29.29992
41	22.66604	25.1515	-42.0266	29.07501
42	25.6249	25.24615	-43.06088	29.17047
43	24.68771	25.04873	-41.92538	29.26341
44	25.73138	25.11532	-41.80781	29.19752
45	24.28233	25.03396	-41.82519	29.31622
46	24.25538	25.16065	-41.97581	29.15723
47	23.67632	25.05607	-43.11785	29.25574
48	25.81376	24.95094	-43.00408	29.30228
49	23.69031	25.05083	-42.52734	29.16628
50	22.14775	25.33288	-43.01876	29.04754
51	21.87277	24.75232	-42.57714	29.39578
52	23.6587	25.00157	-43.56326	29.35944
53	24.26121	24.50364	-44.58615	29.396
54	21.96409	25.60765	-42.67563	29.68814
55	21.94532	25.29799	-45.07435	29.51122
56	23.77794	24.80903	-43.76829	29.31636
57	25.61317	25.10693	-44.49567	29.31984
58	22.8813	24.92491	-44.06012	29.15097
59	22.09217	25.52655	-43.7748	29.74666
60	24.77511	25.32116	-43.50973	29.42487
